;sentence1_DE;sentence2_DE;gold_label;sentence1;sentence2
0;Die Mustermann AG behält sich das Recht vor, Qualitätssicherungspläne einzufordern und bei Bedarf zu ergänzen.;Die Mustermann AG behält sich das Recht vor Qualitätssicherungspläne einzufordern und bei Bedarf zu ergänzen.;neutral;Mustermann AG reserves the right to demand quality assurance plans and to supplement them if necessary.;Mustermann AG reserves the right to request quality assurance plans and to supplement them if necessary.
1;Jeder Vorgesetzte kann die Ausführung von Aufgaben seiner Funktionseinheit seinen Mitarbeitern übertragen.;Jeder Vorgesetzte kann die Aufgaben seiner Mitarbeiter ausführen, wenn er dazu qualifiziert ist.;different context;Each supervisor can delegate the execution of tasks in his functional unit to his employees.;Every supervisor can carry out the tasks of their employees if they are qualified to do so.
2;Personen, bei denen der Verdacht besteht, dass sie unter Alkoholeinfluss stehen, werden unverzüglich entfernt.;Mitarbeiter, bei denen der Verdacht besteht, dass sie unter Alkoholeinfluss stehen, werden dauerhaft vom Kundengelände verwiesen.;inconsistent;Persons suspected of being under the influence of alcohol will be removed immediately.;Employees suspected of being under the influence of alcohol will be permanently removed from the customer premises.
3;Kontraktoren dürfen nur ausreichend qualifiziertes Personal unter Einhaltung einschlägiger gesetzlicher, tariflicher und sonstiger Vorschriften einsetzen.;Fremdfirmen dürfen nur ausreichend qualifiziertes Personal unter Einhaltung einschlägiger gesetzlicher, tariflicher und sonstiger Vorschriften einsetzen.;neutral;Contractors may only deploy sufficiently qualified personnel in compliance with the relevant statutory, collective bargaining and other regulations.;External companies may only deploy sufficiently qualified personnel in compliance with the relevant statutory, collective bargaining and other regulations.
4;Wenn im Rahmen der Zielpreisfestlegung und Vergabe eine OTP / Flash-Lösung als Serienlösung vereinbart ist, ist diese vom Partner im Serienpreis zu kalkulieren.;Wenn im Rahmen der Vergabe eine OTP / Flash-Lösung als Zwischenlösung vereinbart ist, müssen die Preisabweichungen bis zu dem Zeitpunkt Serienwerkzeug-fallende Teile vom Partner als planbare Anlaufkosten gemeldet werden.;different context;If an OTP/flash solution is agreed as a series solution as part of the target price determination and award, this must be calculated by the partner in the series price.;If an OTP/flash solution is agreed as an interim solution within the framework of the contract award, the price deviations up to the point at which series tool parts are produced must be reported by the partner as plannable start-up costs.
5;Der verdeckte Transportschaden wird dem Frachtführer unverzüglich und schriftlich gemeldet.;Verdeckter Transportschaden: Der verdeckte Transportschaden wird dem Frachtführer unverzüglich und schriftlich gemeldet.;neutral;The carrier shall be notified immediately and in writing of any concealed transport damage.;Concealed transport damage: Concealed transport damage shall be reported to the carrier immediately and in writing.
6;Nicht bemusterte Teile müssen mit der Angabe des Entwicklungsstandes (Exx) gemäß Entwicklungsteilelebenslauf gekennzeichnet werden.;Nicht bemusterte Teile sind mit der Angabe des Entwicklungsstandes (Exx) gemäß Entwicklungsteilelebenslauf zu kennzeichnen.;neutral;Parts not sampled must be marked with the development status (Exx) according to the development parts history.;Parts that are not sampled must be marked with the development status (Exx) according to the development parts history.
7;Des Weiteren kann die Mustermann AG verlangen, dass der Lieferant schriftliche Prüfungs- und andere Qualitätsnachweise von dessen Unterlieferanten vorlegt.;Ebenso kann die Mustermann AG verlangen, dass der Lieferant schriftliche Prüfungs- und andere Qualitätsnachweise von seinen Unterlieferanten vorlegt.;neutral;Furthermore, Mustermann AG may demand that the supplier submits written test certificates and other quality certificates from its sub-suppliers.;Mustermann AG may also demand that the supplier submits written test certificates and other quality certificates from its sub-suppliers.
8;Beauftragt der Lieferant ohne vorherige schriftliche Zustimmung der Mustermann AG einen Dritten mit der Leistungserbringung und / oder sonstigen Vertragsausführung, so hat die Mustermann AG das Recht, aus wichtigem Grund zu kündigen oder vom Vertrag zurückzutreten und / oder Schadensersatz zu verlangen.;Wenn eine Zustimmung der Mustermann AG vorliegt, hat der Lieferant dem Dritten alle Verpflichtungen, die bei der Leistungserbringung und / oder sonstigen Vertragsausführung ihn selbst gegenüber der Mustermann AG treffen, aufzuerlegen und deren Einhaltung sicherzustellen.;different context;If the supplier commissions a third party with the provision of services and / or other execution of the contract without the prior written consent of Mustermann AG, Mustermann AG shall be entitled to terminate the contract for good cause or to withdraw from the contract and / or to claim damages.;If Mustermann AG has given its consent, the supplier shall impose on the third party all obligations that apply to it vis-à-vis Mustermann AG in the provision of the service and/or other execution of the contract and ensure compliance with them.
9;Im Betriebsgelände dürfen Fahrzeuge nur an gekennzeichneten Parkplätzen abgestellt werden.;Das Parken auf dem Werksgelände ist nur für das Be-und Entladen zulässig, außerhalb dieser Tätigkeiten sind die Fahrzeuge auf dem dafür vorgesehenen Parkplatz zu parken.;different context;Vehicles may only be parked in designated parking spaces on the company premises.;"Parking on the factory premises is only permitted for loading and unloading; outside of these activities, vehicles must be parked in the parking lot provided for this purpose."
