;sentence1;sentence2;gold_label
0;Der Auftragnehmer hat seinem Arbeitspersonal die erforderliche Persönliche Schutzausrüstung in ausreichender Stückzahl zur Verfügung zu stellen.;Der Auftragnehmer hat seinen Mitarbeitern eine geeignete persönliche Schutzausrüstung in ausreichender Menge bereit zu stellen.;neutral
1;Die Anlieferung von Spulenware darf nur auf Kunststoffspulen erfolgen.;Die Anlieferung von Spulenware darf ausschließlich auf Kunststoffspulen erfolgen.;neutral
2;Personenbezogene Daten müssen rechtmäßig erhoben und verarbeitet werden.;Personenbezogene Daten müssen in einer für den Betroffenen nachvollziehbaren Art und Weise verarbeitet werden.;inconsistent
3;Der Lieferant verpflichtet sich, bei Entzug von Zertifikaten umgehend die Mustermann AG schriftlich zu informieren.;Sollte ein Lieferant auf Grund schwerwiegender Fehler in seinem Managementsystem ein Zertifikat nicht mehr erhalten, ist dies dem Bereich Beschaffung der Mustermann AG unverzüglich schriftlich mitzuteilen.;inconsistent
4;Den rechtlichen Rahmen zur Ladungssicherung bilden die StVO, StVZO und das HGB.;Den rechtlichen Rahmen zur Ladungssicherung bilden in Deutschland die StVO, StVZO und das HGB.;neutral
5;Der Begriff „ nahestehende Person “ bezieht sich auf eine Person, mit der Sie verwandt sind oder zu der Sie eine persönliche Beziehung haben, was Ihr geschäftliches Urteilsvermögen beeinflussen oder zumindest diesen Eindruck erwecken könnte.;Mit „ nahestehenden Personen “ sind Personen gemeint, mit denen MitarbeiterInnen verwandt sind oder mit denen MitarbeiterInnen eine persönliche Beziehung haben, was deren geschäftliches Urteilsvermögen beeinflussen oder zumindest den Eindruck erwecken könnte.;neutral
6;Sollte ein Ladungssicherungsverstoß während des Transportes zum Beispiel dadurch auftreten, dass teilweise entladen wurde oder zusätzliche Ladung an einer anderen Beladestelle aufgenommen wurde, so besteht die Möglichkeit anhand dieses Fotos die eigenen Ladungssicherungsmaßnahmen nachzuweisen.;Sollte ein Ladungssicherungsverstoß während des Transports zum Beispiel dadurch auftreten, dass teilweise entladen oder zusätzliche Ladung an einer anderen Beladestelle aufgenommen wurde, besteht die Möglichkeit, anhand dieses Fotos die eigenen korrekten Ladungssicherungsmaßnahmen nachzuweisen.;neutral
7;Mitarbeiter dürfen von Kunden, Lieferanten oder sonstigen Dritten keine Dienstleistungen, Geschenke oder Vorteile fordern oder annehmen, die ihr Verhalten hinsichtlich der Tätigkeit für die Mustermann AG beeinflussen oder beeinflussen könnten.;Kein Mitarbeiter darf von Kunden oder Geschäftspartnern Geschenke oder Vorteile fordern oder annehmen, die das persönliche Verhalten hinsichtlich der Tätigkeit für das Unternehmen tatsächlich oder scheinbar beeinflussen könnten.;inconsistent
8;Bei einer Mängelquote von weniger als 3 % erfolgt eine Abstimmung mit dem Lieferanten, ob auch dieser Schaden als Serienschaden behandelt wird.;Bei einer Mängelquote von weniger als 3 % erfolgt eine Abstimmung mit dem Partner, ob auch dieser Schaden als Serienschaden behandelt wird.;not_related
9;Eine lagenweise Anlieferung ist nur möglich, wenn die Tragfähigkeit der darunter liegenden Artikel gegeben und eine Beschädigungsfreiheit der unteren Lagen gewährleistet ist.;Die lagenweise Anlieferung ist nur dann möglich, wenn die Tragfähigkeit der darunterliegenden Artikel gegeben ist und eine Beschädigungsfreiheit der unteren Lagen gewährleistet ist.;neutral
10;Ergeben sich Zweifel am sicherheitsgerechten Zustand der Arbeitsmittel, behält sich die Mustermann AG vor, die Prüfnachweise (Prüfbücher) einzusehen und / oder den Einsatz der Arbeitsmittel zu untersagen.;Ergeben sich Zweifel am sicherheitsgerechten Zustand der Arbeitsmittel, behält sich die Mustermann AG vor, die Prüfnachweise (Prüfbücher) einzusehen und den Einsatz der Arbeitsmittel zu untersagen.;inconsistent
11;Fairness im Wettbewerb: Es wird erwartet, dass die Lieferanten sich im Wettbewerb fair verhalten und die geltenden Kartellgesetze achten.;Die Mustermann AG erwartet, dass seine Lieferanten sich im Wettbewerb fair verhalten und die geltenden Kartellgesetze beachten.;neutral
12;"Batch-Behandlung bei zylindrischer Form des Behandlungsraumes mit 12 Entnahmestellen; wahlweise Angabe von Positionen in Klammern, wenn die Prüfung nur an diesen Positionen erfolgen soll.";"Batch-Behandlung bei zylindrischer Form des Behandlungsraumes mit 20 Entnahmestellen; wahlweise Angabe von Positionen in Klammern, wenn die Prüfung nur an diesen Positionen erfolgen soll.";not_related
13;Hoch: Bauteilversagen führt zur akuten Betriebsgefahr mit Personenschäden.;Niedrig: Bauteilversagen führt zur Nutzungseinschränkung ohne Personenschäden.;not_related
14;Der Lieferant ist verpflichtet, anfallende Mehrkosten im Verhältnis zum Spediteur zu tragen.;Der Lieferant ist einverstanden, dass der Spediteur Mehrkosten direkt dem Lieferanten in Rechnung stellt.;neutral
15;Kommen durch den AN Gefahrstoffe zum Einsatz, hat er den Mustermann AG Ansprechpartner rechtzeitig vor Beginn der Arbeiten zu informieren.;Setzt der AN Gefahrstoffe ein, hat er die Mustermann AG rechtzeitig vor Beginn der Arbeiten darüber zu informieren.;neutral
16;Die Fremdfirmen bzw. Auftragnehmer, die innerhalb der Mustermann AG Arbeiten ausführen, müssen alle Normen, Vorschriften und Gesetze in Bezug auf Arbeitsschutz, Unfallverhütung, Arbeitshygiene, Brandverhütung und Umweltschutz beachten und einhalten.;Die Auftragnehmer, die innerhalb der Mustermann AG Arbeiten ausführen, müssen alle Normen, Vorschriften und Gesetze in Bezug auf Unfallverhütung, Arbeitshygiene, Brandverhütung und Umweltschutz beachten und einhalten.;inconsistent
17;Im Stör- / Schadensfall ist die Gefahrenstelle unverzüglich von der Fremdfirma zu sichern (z. B. Abschalten, Freischalten, Verkehrssicherung usw.) und zu kennzeichnen.;Im Stör- / Schadensfall ist die Gefahrenstelle unverzüglich von der Fremdfirma zu sichern und zu kennzeichnen.;neutral
18;Die Avisierung kann nicht per E-Mail / Fax / Telefon getätigt werden, sondern ist online unter www.mustermann-ag.de/b2b durch den anliefernden Spediteur durchzuführen.;Die Avisierung kann nicht per E-Mail / Fax / Telefon getätigt werden, sondern ist online unter www.mustermann-ag.de/arrival durch den anliefernden Spediteur durchzuführen.;contradiction
19;Die Mitarbeiter sind verpflichtet, die persönliche Schutzausrüstung bestimmungsgemäß zu benutzen.;Die Fremdfirma stellt sicher, dass ihre Mitarbeiter die notwendige persönliche Schutzausrüstung tragen.;neutral
20;Bei Verstößen gegen den Code of Conduct sind die Spezialisten Compliance befugt, sich jederzeit an den Vorstand, ggf. an den Aufsichtsrat und an die Leitungen der Tochtergesellschaften zu wenden und Informationen einzuholen.;Bei Verstößen gegen die Konzernrichtlinie Code of Conduct sind die Spezialisten Compliance befugt, sich jederzeit an den Vorstand, gegebenenfalls an den Aufsichtsrat und an die Leitungen der Tochtergesellschaften zu wenden und Informationen einzuholen.;neutral
21;Wendet sich der Betroffene mit einem Informationsanliegen an ein Unternehmen des Mustermann AG Konzerns (z. B. Wunsch nach Zusendung von Informationsmaterial zu einem Produkt ), so ist die Datenverarbeitung für die Erfüllung dieses Anliegens unabhängig von dem Vorliegen einer Einwilligung immer zulässig.;Wendet sich der Betroffene mit einem Informationsanliegen (z. B. mit dem Wunsch nach Zusendung von Informationsmaterial zu einem Produkt oder Service) an das Unternehmen, so ist die Datenverarbeitung für die Erfüllung dieses Anliegens zulässig.;not_related
22;Setzt die Fremdfirma Subunternehmen ein, so ist sie für diese verantwortlich und zur Weitergabe der Arbeitsschutzbestimmungen verpflichtet.;Setzt der Fremdunternehmer Subunternehmen ein, so ist er für diese verantwortlich und zur Weitergabe der Betriebsordnung für Fremdfirmen und den Arbeitsschutzbestimmungen verpflichtet.;inconsistent
23;Abweichungen sind bei den Feldern 6 und 8, die als Pflichtfelder zu befüllen sind, zu beachten.;Die Lieferscheinerstellung erfolgt nach DIN 4991. Abweichungen sind bei den Feldern 6 und 8, die als Pflichtfelder zu befüllen sind, zu beachten.;neutral
24;Die Mustermann AG Norm 3332 kann insgesamt referenziert werden durch Angaben der Normnummer „ Mustermann AG Norm 3332 (alle Teile) “ ohne Nennung eines Teildokuments oder es kann ein Teildokument einzeln referenziert werden, z. B. als „ Mustermann AG Norm 3332 - 7 “.;Die Mustermann AG Norm 3332 kann insgesamt referenziert werden durch Angaben der Normnummer „ Mustermann AG Norm 3332 (alle Teile) “ ohne Nennung eines Teildokuments oder es kann ein Teildokument einzeln referenziert werden, z. B. als „ Mustermann AG Norm 3332 - 1 “.;neutral
25;Der Verhaltenskodex der Mustermann AG ist so aufgebaut, dass er die Erwartungen unserer wichtigsten Interessengruppen reflektiert.;Dementsprechend ist der Verhaltenskodex so aufgebaut, dass er die Erwartungen unserer wichtigsten Interessengruppen reflektiert.;neutral
26;Das markierte Planensegment ist in möglichst kurzer Zeit von Hand aufzuschneiden oder aufzuschlitzen.;Das markierte Planensegment ist in möglichst kurzer Zeit von Hand aufzuschneiden / aufzuschlitzen.;neutral
27;Der Lieferant haftet für alle aus der Nichtbeachtung von gesetzlichen Vorschriften entstandene Schäden.;Der Lieferant haftet für aus der Nichtbeachtung der gesetzlichen Vorschriften entstehenden Schäden.;neutral
